index	project_slug	role	width_px	height_px	response_format	bytes	audited_on	http_status	quality_assessment	crop_assessment	future_action	url
000	2200-brickell	cover	1280	907	jpeg	250517	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/2200%20Brickell/BTag7Isw.jpeg
001	2200-brickell	gallery-1	1024	855	jpeg	177915	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/2200%20Brickell/XMNHJ8ow.jpeg
002	2200-brickell	gallery-2	1280	875	jpeg	188376	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/2200%20Brickell/bw1m7DrA.jpeg
003	2200-brickell	gallery-3	1600	884	jpeg	230901	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/2200%20Brickell/xZLyIoxg.jpeg
004	2200-brickell	gallery-4	800	857	jpeg	137891	2026-07-12	200	Resolution limited for flexible web use; editorial relevance and rights unconfirmed	Square or near-square; approved focal point required for landscape cards	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/2200%20Brickell/wHA79dJw.jpeg
005	2200-brickell	gallery-5	1600	985	jpeg	291033	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/2200%20Brickell/vHAiVX2A.jpeg
006	2200-brickell	gallery-6	1600	900	jpeg	186536	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/2200%20Brickell/-zYSgcQw.jpeg
007	2200-brickell	gallery-7	1600	1034	jpeg	141990	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/2200%20Brickell/Zz7QF-6Q.jpeg
008	2200-brickell	gallery-8	1280	986	jpeg	164002	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and editorial need; approve crop before use	https://ik.imagekit.io/devrodri/2200%20Brickell/7XtnkE7w.jpeg
009	72-park	cover	1280	959	jpeg	264053	2026-07-12	200	Resolution sufficient for current web use; editorial relevance and rights unconfirmed	Landscape; define focal point before standardized crop	Retain provisionally; confirm source, rights and representativeness; approve crop	https://ik.imagekit.io/devrodri/72%20Park/B4XUDwSQ.jpeg
